시도,시군구,발생년도,2014년,2014년,2015년,2015년,2016년,2016년,2017년,2017년,2018년,2018년
시도,시군구,발생년도,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상
인천,남동구,사망자수,1,1,2,1,3,2,2,1,1,0
인천,남동구,부상자수,128,45,162,90,166,90,157,71,179,85
인천,서구,사고건수,46,25,58,20,79,27,71,42,59,37
인천,서구,사망자수,2,3,2,2,1,1,2,2,1,1
인천,서구,부상자수,58,33,78,31,143,41,96,60,87,61
인천,연수구,사고건수,21,13,28,19,26,17,33,15,35,20
인천,연수구,사망자수,1,0,0,0,0,0,0,0,0,0
인천,연수구,부상자수,25,20,43,28,42,28,42,25,53,23
인천,계양구,사고건수,38,18,44,17,38,25,25,28,48,20
인천,계양구,사망자수,1,1,0,2,1,1,1,1,1,0
인천,계양구,부상자수,48,31,63,18,49,32,30,33,62,26
인천,강화군,사고건수,11,16,17,23,15,18,21,17,22,19
인천,강화군,사망자수,0,0,0,1,1,3,1,1,0,3
인천,강화군,부상자수,14,33,26,28,20,18,25,29,38,21
인천,옹진군,사고건수,-,2,5,2,1,4,1,3,2,3
인천,옹진군,사망자수,-,0,0,1,0,1,0,0,1,0
인천,옹진군,부상자수,-,3,6,2,1,13,1,6,1,4
광주,동구,사고건수,43,42,40,43,33,26,45,37,41,27
광주,동구,사망자수,0,1,1,2,2,0,1,2,0,0
광주,동구,부상자수,70,52,59,70,43,34,77,61,64,44
광주,서구,사고건수,86,45,95,66,118,61,132,59,132,86
광주,서구,사망자수,0,0,1,2,1,0,2,2,1,0
광주,서구,부상자수,132,82,149,105,175,95,204,82,208,137
광주,북구,사고건수,126,78,119,71,130,98,149,123,189,116
광주,북구,사망자수,1,3,1,2,1,1,4,1,4,1
광주,북구,부상자수,190,106,200,101,211,143,237,187,282,184
광주,광산구,사고건수,74,50,69,62,88,40,82,63,125,80
광주,광산구,사망자수,0,1,2,2,4,1,3,3,2,6
광주,광산구,부상자수,147,81,114,90,137,61,105,87,200,117
광주,남구,사고건수,54,37,53,26,64,36,64,46,77,41
광주,남구,사망자수,2,2,2,0,1,1,2,0,1,0
광주,남구,부상자수,88,56,82,33,113,47,127,80,115,74
대전,동구,사고건수,52,36,74,53,75,42,86,68,103,85
대전,동구,사망자수,1,1,4,2,3,2,0,3,2,2
대전,동구,부상자수,71,42,110,68,125,50,129,101,143,110
대전,중구,사고건수,77,36,69,42,83,76,107,73,90,81
대전,중구,사망자수,1,3,2,1,2,1,1,0,1,1
대전,중구,부상자수,109,50,111,64,133,111,173,96,130,124
대전,서구,사고건수,79,38,87,58,115,58,123,89,145,87
대전,서구,사망자수,2,0,0,0,1,0,0,1,0,1
대전,서구,부상자수,125,58,140,97,185,84,176,152,206,120
대전,유성구,사고건수,40,23,64,33,95,61,108,63,140,58
대전,유성구,사망자수,1,2,1,0,2,2,2,0,2,0
대전,유성구,부상자수,65,34,90,61,162,89,187,106,220,94
대전,대덕구,사고건수,24,11,54,14,57,38,64,38,53,32
대전,대덕구,사망자수,1,0,1,0,3,6,0,0,1,1
대전,대덕구,부상자수,43,16,76,19,77,83,95,59,61,37
울산,중구,사고건수,44,31,55,41,55,40,54,47,60,54
울산,중구,사망자수,1,1,2,0,0,0,1,0,1,0
울산,중구,부상자수,62,37,84,59,78,51,73,73,71,67
울산,남구,사고건수,65,30,66,40,62,40,69,41,81,52
울산,남구,사망자수,1,1,2,3,1,1,1,1,1,1
울산,남구,부상자수,116,41,103,49,81,58,109,52,110,75
울산,동구,사고건수,31,9,20,13,16,16,23,19,28,23
울산,동구,사망자수,0,0,1,0,0,0,0,0,0,0
울산,동구,부상자수,43,11,26,14,19,19,31,24,33,25
울산,북구,사고건수,23,18,27,20,33,22,25,18,46,18
울산,북구,사망자수,1,1,1,0,0,0,2,0,0,1
울산,북구,부상자수,33,23,50,28,68,29,47,22,65,24
울산,울주군,사고건수,37,32,55,43,38,34,70,45,47,39
울산,울주군,사망자수,0,4,4,2,3,2,1,0,3,1
울산,울주군,부상자수,55,55,84,64,56,60,115,69,86,54
세종,세종,사고건수,13,27,18,28,17,19,33,22,51,39
세종,세종,사망자수,2,2,1,6,0,4,0,1,2,5
세종,세종,부상자수,17,37,31,30,22,24,45,26,68,43
경기,수원시,사고건수,181,91,178,124,206,146,256,160,260,161
