시도,시군구,2014 합계,2014,2015 합계,2015,2016 합계,2016,2017 합계,2017,2018 합계,2018,합계,고령운전자 사고합계,5년 고령운전자 사고비율
전북,부안군,1026,145,931,186,932,181,983,208,1011,229,4883,949,19.43477370468974
전북,익산시,6370,577,6084,591,6133,600,6436,836,6902,1099,31925,3703,11.599060297572436
전남,목포시,6167,449,6447,501,6046,483,6444,769,6924,1011,32028,3213,10.031847133757962
전남,여수시,5263,380,5558,444,5453,464,5859,681,6465,856,28598,2825,9.87831316875306
전남,순천시,5319,359,5314,438,5324,463,5687,601,6153,756,27797,2617,9.414685037953737
전남,나주시,1918,223,2020,244,2019,255,2227,288,2460,410,10644,1420,13.340849304772643
전남,광양시,2578,156,2586,179,2551,186,2574,241,2896,341,13185,1103,8.365566932119833
전남,담양군,928,109,1024,158,978,143,1015,150,1067,201,5012,761,15.183559457302472
전남,곡성군,428,62,379,56,393,55,417,86,375,96,1992,355,17.82128514056225
전남,구례군,384,64,389,75,394,77,380,81,347,81,1894,378,19.957761351636748
전남,고흥군,658,147,703,146,682,168,737,185,723,215,3503,861,24.578932343705397
전남,보성군,609,119,567,107,602,122,590,124,667,190,3035,662,21.81219110378913
전남,화순군,1118,141,998,121,964,130,971,154,1142,219,5193,765,14.731369150779896
전남,장흥군,525,97,617,136,568,119,552,140,608,150,2870,642,22.369337979094077
전남,강진군,559,119,558,114,596,123,616,145,614,129,2943,630,21.406727828746178
전남,해남군,1008,162,1065,173,1064,204,1008,200,1053,228,5198,967,18.603308964986535
전남,영암군,1337,137,1419,147,1283,150,1209,187,1381,246,6629,867,13.078895761049933
전남,무안군,1366,154,1397,157,1437,168,1565,223,1660,290,7425,992,13.360269360269362
전남,함평군,454,72,503,89,463,89,489,116,608,150,2517,516,20.500595947556615
전남,영광군,728,127,754,143,831,159,806,175,786,162,3905,766,19.615877080665815
전남,장성군,795,100,814,94,807,104,848,151,947,168,4211,617,14.652101638565663
전남,완도군,475,68,512,101,500,92,512,104,505,112,2504,477,19.049520766773163
전남,진도군,365,68,368,73,328,71,344,87,364,100,1769,399,22.55511588468061
전남,신안군,276,61,289,72,338,74,307,74,330,79,1540,360,23.376623376623375
경북,포항시,11378,844,11003,839,11105,984,11467,1338,12504,1816,57457,5821,10.131054527733783
경북,경주시,7373,621,7506,652,6663,611,6650,843,6769,977,34961,3704,10.594662624066817
경북,김천시,2309,216,2225,235,2199,234,2359,319,2432,373,11524,1377,11.948976049982644
경북,안동시,3807,326,3801,358,3824,417,3539,461,3591,567,18562,2129,11.469669216679238
경북,구미시,10728,366,10846,385,10630,401,10565,691,10908,1087,53677,2930,5.458576298973489
경북,영주시,1865,221,2028,291,1911,250,1906,288,2009,375,9719,1425,14.662002263607368
경북,영천시,2211,246,2196,274,2264,286,2200,317,2452,449,11323,1572,13.883246489446261
경북,문경시,1189,145,1214,169,1239,175,1314,250,1502,302,6458,1041,16.119541653762777
경북,상주시,1827,222,1998,256,1909,268,1828,319,1937,349,9499,1414,14.885777450257923
경북,군위군,387,67,418,60,442,67,421,87,554,114,2222,395,17.77677767776778
경북,의성군,658,129,625,144,652,148,685,157,727,186,3347,764,22.826411711980878
경북,청송군,355,70,302,52,304,54,291,66,373,86,1625,328,20.184615384615384
경북,영양군,167,35,166,36,170,44,170,35,188,44,861,194,22.531939605110338
경북,영덕군,758,92,785,122,770,107,887,152,785,143,3985,616,15.457967377666249
경북,청도군,784,109,819,129,790,110,758,153,829,177,3980,678,17.035175879396984
경북,고령군,712,94,681,85,688,79,605,115,638,126,3324,499,15.012033694344161
경북,성주군,704,111,745,117,742,110,705,137,787,162,3683,637,17.295682867227804
경북,칠곡군,3211,182,3413,212,3582,224,3298,308,3290,403,16794,1329,7.913540550196499
경북,예천군,567,101,589,118,536,112,560,118,682,156,2934,605,20.62031356509884
경북,봉화군,373,79,382,80,377,80,316,87,381,94,1829,420,22.963367960634226
경북,울진군,633,83,627,85,651,106,669,116,655,139,3235,529,16.35239567233385
경북,울릉군,44,10,47,9,51,17,58,9,69,10,269,55,20.44609665427509
경북,경산시,6241,389,6230,414,6317,429,6586,628,6955,856,32329,2716,8.40112592409292
경남,진주시,6066,430,6118,468,5958,487,6234,679,6855,922,31231,2986,9.561013095962345
경남,통영시,2381,148,2478,177,2330,185,2319,257,2346,303,11854,1070,9.026488948878015
경남,김해시,12099,533,11417,563,11443,596,11643,929,12193,1281,58795,3902,6.6366187600986475
경남,밀양시,1812,214,1928,183,2012,201,1960,299,1973,302,9685,1199,12.379969024264327
경남,거제시,4926,184,4768,194,4677,193,4375,293,4057,479,22803,1343,5.8895759329912725
경남,의령군,352,54,335,58,283,62,327,65,316,97,1613,336,20.830750154990703
경남,함안군,1805,118,1862,139,1713,156,1877,216,2046,273,9303,902,9.695797054713532
경남,창녕군,982,141,1007,174,1051,171,1151,204,1179,258,5370,948,17.6536312849162
경남,양산시,5327,295,5653,322,5909,354,6302,532,6868,732,30059,2235,7.435377091719618
경남,고성군,866,92,911,94,920,94,842,142,867,170,4406,592,13.436223331820246
경남,사천시,2022,200,2198,216,1999,224,2230,310,2291,332,10740,1282,11.936685288640597
경남,남해군,547,96,555,110,562,110,554,102,599,141,2817,559,19.84380546680866
경남,하동군,638,90,721,102,580,91,623,125,644,122,3206,530,16.53150343106675
경남,산청군,380,57,344,79,406,82,427,94,462,98,2019,410,20.307082714214957
경남,함양군,477,82,472,68,477,91,514,116,541,112,2481,469,18.90366787585651
경남,거창군,749,102,779,119,795,141,762,145,823,161,3908,668,17.09314227226203
경남,합천군,493,90,500,86,473,112,502,137,540,125,2508,550,21.929824561403507
경남,창원시(통합),22266,1109,12496,718,17858,1113,20314,1871,20884,2628,93818,7439,7.929182033298514
제주,제주시,9787,584,10137,612,10602,692,11292,896,12586,1225,54404,4009,7.368943460039704
제주,서귀포시,2724,279,2935,311,3175,324,3500,422,3977,471,16311,1807,11.078413340690332
