,도시,2014,2015,2016,2017,2018,합계,고령운전자 사고합계,5년 고령운전자 사고비율,2014년 고령운전자 사고비율,2015년 고령운전자 사고비율,2016년 고령운전자 사고비율,2017년 고령운전자 사고비율,2018년 고령운전자 사고비율
105,경기하남시,249,273,324,500,809,23580,2155,9.14,6.75,6.93,6.93,9.6,13.34
106,강원춘천시,527,578,639,723,1071,34825,3538,10.16,7.75,8.81,9.47,10.34,13.86
107,강원원주시,571,581,649,887,1281,45900,3969,8.65,6.31,6.64,6.84,9.91,13.25
108,강원동해시,164,177,165,231,246,8764,983,11.22,9.06,9.83,9.67,12.84,14.94
109,강원강릉시,452,443,534,692,889,24953,3010,12.06,9.17,9.57,10.82,13.49,16.66
110,강원속초시,127,158,160,216,292,9219,953,10.34,7.09,8.97,9.09,11.6,14.29
111,강원태백시,65,84,98,125,169,3702,541,14.61,9.29,11.73,13.24,17.46,20.36
112,강원삼척시,115,128,175,189,238,5896,845,14.33,9.4,10.85,14.3,17.24,20.29
113,강원홍천군,130,149,164,189,259,6994,891,12.74,9.62,11.39,11.14,13.39,17.86
114,강원횡성군,75,98,113,144,185,5300,615,11.6,7.44,9.54,9.3,13.42,18.94
115,강원영월군,98,68,76,91,110,2823,443,15.69,16.9,12.62,13.31,15.99,19.5
116,강원평창군,105,90,143,200,154,6879,692,10.06,7.47,6.48,9.68,13.36,13.87
117,강원정선군,62,67,54,86,122,3395,391,11.52,9.34,9.75,8.53,12.16,17.33
118,강원철원군,67,81,88,101,136,2951,473,16.03,11.63,13.97,15.02,17.35,21.69
119,강원화천군,41,35,39,49,51,1536,215,14,12.77,13.36,12.46,17.25,14.33
120,강원양구군,31,35,26,47,54,1427,193,13.52,11.57,11.99,9.85,15.99,17.48
121,강원인제군,46,58,64,83,97,3383,348,10.29,7.69,8.27,8.54,11.66,15.57
122,강원고성군,51,65,55,65,68,2402,304,12.66,9.71,13.86,11.68,13.57,14.85
123,강원양양군,68,91,58,108,110,3104,435,14.01,11.72,15.8,10,16.93,15.07
124,충북청주시,907,973,973,1308,1801,77859,5962,7.66,5.15,6.28,6.81,9.15,11.13
125,충북충주시,416,423,472,603,728,25081,2642,10.53,8.93,8.86,9.42,11.66,13.33
126,충북제천시,252,294,307,399,498,14958,1750,11.7,8.19,9.97,10.72,13.46,16.05
127,충북청원군,99,41,22,7,12,3247,181,5.57,5.66,5.19,6.11,4.55,6.22
128,충북보은군,80,79,85,126,141,2926,511,17.46,16.49,15.67,15.57,19.15,19.24
129,충북옥천군,110,146,144,200,207,5309,807,15.2,11.07,14.37,12.97,18.4,18.78
130,충북영동군,103,94,105,134,127,3276,563,17.19,15.12,14.78,15.93,19.71,20.48
131,충북진천군,112,132,130,207,308,9764,889,9.1,7.19,7.55,7,9.76,12.41
132,충북괴산군,96,86,94,129,196,4324,601,13.9,14.16,11.23,12.55,13.78,16.4
133,충북음성군,172,188,191,279,349,12201,1179,9.66,7.57,7.8,8.02,11.41,12.97
134,충북단양군,69,81,53,97,105,2745,405,14.75,14.17,15.2,9.93,16.09,17.86
135,충북증평군,53,62,76,83,120,3429,394,11.49,7.93,9.05,11.23,12.41,16.44
136,충남천안시,754,723,834,1352,2096,88214,5759,6.53,4.62,4.36,4.7,7.5,10.71
137,충남아산시,367,384,498,735,983,39004,2967,7.61,5.32,5.47,6.36,8.49,11.42
138,충남보령시,248,290,262,330,428,10987,1558,14.18,11.39,13.33,12.09,15.08,18.77
139,충남공주시,233,246,261,452,558,16754,1750,10.45,7.85,8.47,8.06,12.1,14.28
140,충남서산시,329,329,335,496,628,19868,2117,10.66,8.14,8.69,8.55,12.7,14.9
141,충남금산군,157,143,175,175,231,5151,881,17.1,15.42,13.98,17.5,17.14,21.21
142,충남태안군,167,178,171,247,240,6400,1003,15.67,11.97,14.03,13.64,18.8,20.55
143,충남연기군,71,50,24,7,2,1837,154,8.38,7.79,8.82,8.92,15.22,4.55
144,충남논산시,302,321,331,437,499,14364,1890,13.16,10.75,11.45,11.57,14.8,16.97
145,충남부여군,173,159,145,208,236,4786,921,19.24,17.87,16.19,16.35,21.69,23.84
146,충남서천군,210,189,212,234,231,5228,1076,20.58,19.59,18.53,19.89,22.29,22.65
147,충남청양군,81,86,90,97,115,2679,469,17.51,15.28,15.78,17.41,18,20.99
148,충남홍성군,219,216,245,324,351,9418,1355,14.39,11.83,11.86,13.18,17.03,17.68
149,충남예산군,237,220,234,330,387,8413,1408,16.74,14.24,13.51,14.3,19.84,21.25
150,충남당진시,242,217,137,118,138,9321,852,9.14,7.01,8.65,10.62,12.15,12.55
151,충남계룡시,31,35,57,53,74,2505,250,9.98,6.3,6.86,11.05,10.97,14.68
152,전북전주시,1059,1211,1301,1799,2405,82020,7775,9.48,6.52,7.64,8.02,11.06,13.78
153,전북군산시,592,623,647,842,1067,31941,3771,11.81,9.19,9.72,10.41,13.64,15.94
154,전북정읍시,328,314,346,438,486,12330,1912,15.51,13.09,13.56,14.48,17.49,18.59
155,전북남원시,190,182,208,259,301,6690,1140,17.04,14.17,14.2,15.35,20.36,20.9
156,전북김제시,229,207,267,312,389,9652,1404,14.55,12.29,11.15,14.39,16.06,18.25
157,전북완주군,188,201,268,264,336,10989,1257,11.44,9.18,9.48,11.81,11.9,14.4
158,전북진안군,75,64,59,70,75,1518,343,22.6,23.96,19.39,18.73,24.48,27.37
159,전북무주군,50,46,61,79,69,2011,305,15.17,11.55,11.53,15.33,20.84,17.16
160,전북장수군,42,39,45,55,54,1308,235,17.97,15.97,13.64,16.54,23.81,21.09
161,전북임실군,49,77,77,85,90,2266,378,16.68,11.09,17.74,17,18.44,18.91
162,전북순창군,78,80,70,78,79,1739,385,22.14,21.55,21.62,22.01,21.73,23.94
163,전북고창군,133,169,148,174,207,4731,831,17.56,14.88,17.75,16.46,17.42,20.97
164,전북부안군,145,186,181,208,229,4883,949,19.43,14.13,19.98,19.42,21.16,22.65
165,전북익산시,577,591,600,836,1099,31925,3703,11.6,9.06,9.71,9.78,12.99,15.92
166,전남목포시,449,501,483,769,1011,32028,3213,10.03,7.28,7.77,7.99,11.93,14.6
167,전남여수시,380,444,464,681,856,28598,2825,9.88,7.22,7.99,8.51,11.62,13.24
168,전남순천시,359,438,463,601,756,27797,2617,9.41,6.75,8.24,8.7,10.57,12.29
169,전남나주시,223,244,255,288,410,10644,1420,13.34,11.63,12.08,12.63,12.93,16.67
170,전남광양시,156,179,186,241,341,13185,1103,8.37,6.05,6.92,7.29,9.36,11.77
171,전남담양군,109,158,143,150,201,5012,761,15.18,11.75,15.43,14.62,14.78,18.84
172,전남곡성군,62,56,55,86,96,1992,355,17.82,14.49,14.78,13.99,20.62,25.6
173,전남구례군,64,75,77,81,81,1894,378,19.96,16.67,19.28,19.54,21.32,23.34
174,전남고흥군,147,146,168,185,215,3503,861,24.58,22.34,20.77,24.63,25.1,29.74
175,전남보성군,119,107,122,124,190,3035,662,21.81,19.54,18.87,20.27,21.02,28.49
176,전남화순군,141,121,130,154,219,5193,765,14.73,12.61,12.12,13.49,15.86,19.18
177,전남장흥군,97,136,119,140,150,2870,642,22.37,18.48,22.04,20.95,25.36,24.67
178,전남강진군,119,114,123,145,129,2943,630,21.41,21.29,20.43,20.64,23.54,21.01
179,전남해남군,162,173,204,200,228,5198,967,18.6,16.07,16.24,19.17,19.84,21.65
180,전남영암군,137,147,150,187,246,6629,867,13.08,10.25,10.36,11.69,15.47,17.81
181,전남무안군,154,157,168,223,290,7425,992,13.36,11.27,11.24,11.69,14.25,17.47
182,전남함평군,72,89,89,116,150,2517,516,20.5,15.86,17.69,19.22,23.72,24.67
183,전남영광군,127,143,159,175,162,3905,766,19.62,17.45,18.97,19.13,21.71,20.61
184,전남장성군,100,94,104,151,168,4211,617,14.65,12.58,11.55,12.89,17.81,17.74
185,전남완도군,68,101,92,104,112,2504,477,19.05,14.32,19.73,18.4,20.31,22.18
186,전남진도군,68,73,71,87,100,1769,399,22.56,18.63,19.84,21.65,25.29,27.47
187,전남신안군,61,72,74,74,79,1540,360,23.38,22.1,24.91,21.89,24.1,23.94
188,경북포항시,844,839,984,1338,1816,57457,5821,10.13,7.42,7.63,8.86,11.67,14.52
189,경북경주시,621,652,611,843,977,34961,3704,10.59,8.42,8.69,9.17,12.68,14.43
190,경북김천시,216,235,234,319,373,11524,1377,11.95,9.35,10.56,10.64,13.52,15.34
191,경북안동시,326,358,417,461,567,18562,2129,11.47,8.56,9.42,10.9,13.03,15.79
192,경북구미시,366,385,401,691,1087,53677,2930,5.46,3.41,3.55,3.77,6.54,9.97
193,경북영주시,221,291,250,288,375,9719,1425,14.66,11.85,14.35,13.08,15.11,18.67
194,경북영천시,246,274,286,317,449,11323,1572,13.88,11.13,12.48,12.63,14.41,18.31
195,경북문경시,145,169,175,250,302,6458,1041,16.12,12.2,13.92,14.12,19.03,20.11
196,경북상주시,222,256,268,319,349,9499,1414,14.89,12.15,12.81,14.04,17.45,18.02
197,경북군위군,67,60,67,87,114,2222,395,17.78,17.31,14.35,15.16,20.67,20.58
198,경북의성군,129,144,148,157,186,3347,764,22.83,19.6,23.04,22.7,22.92,25.58
199,경북청송군,70,52,54,66,86,1625,328,20.18,19.72,17.22,17.76,22.68,23.06
200,경북영양군,35,36,44,35,44,861,194,22.53,20.96,21.69,25.88,20.59,23.4
201,경북영덕군,92,122,107,152,143,3985,616,15.46,12.14,15.54,13.9,17.14,18.22
202,경북청도군,109,129,110,153,177,3980,678,17.04,13.9,15.75,13.92,20.18,21.35
203,경북고령군,94,85,79,115,126,3324,499,15.01,13.2,12.48,11.48,19.01,19.75
204,경북성주군,111,117,110,137,162,3683,637,17.3,15.77,15.7,14.82,19.43,20.58
205,경북칠곡군,182,212,224,308,403,16794,1329,7.91,5.67,6.21,6.25,9.34,12.25
206,경북예천군,101,118,112,118,156,2934,605,20.62,17.81,20.03,20.9,21.07,22.87
207,경북봉화군,79,80,80,87,94,1829,420,22.96,21.18,20.94,21.22,27.53,24.67
